sku,promo,inicio,fin,semanas,descuento,descuento_equilibrio,vende_bajo_costo,unidades_promo,unidades_reales,unidades_baseline,unidades_incrementales,uplift_obs_pct,uplift_req_pct,cobertura,margen_incremental,ganancia_por_volumen,costo_del_descuento,share_promo_en_ventana
Antitranspirante 150 ml C,Combo Verano 2,2026-03-02,2026-05-10,10,0.161,0.231,False,8122,8122,4202,3920,93.3,135.2,0.69,-24643,55089,79868,1.0
Desodorante 150 ml A,Combo Quincena Desodorante,2025-08-04,2025-08-31,4,0.201,0.18,True,7738,7738,4155,3583,86.2,inf,0.0,-49934,35538,85466,1.0
